split,samples,avg_pred_len,avg_ref_len,len_ratio,empty_ratio,repeat_ratio,english_leakage,special_token_ratio,too_short_ratio,too_long_ratio,quality_good,quality_partial,quality_poor,quality_invalid
train,50,54.3,29.92,1.912,0.0,0.0,0.02,0.0,0.02,0.2,25,19,6,0
validation,100,84.5,53.77,2.032,0.0,0.0,0.04,0.0,0.01,0.15,46,48,6,0
test,100,72.97,42.28,1.902,0.0,0.0,0.02,0.0,0.0,0.16,42,49,9,0
fixed_simple,15,11.0,7.13,1.547,0.0,0.0,0.0,0.0,0.0,0.0,12,0,3,0
fixed_terms,20,19.85,14.85,1.557,0.0,0.0,0.0,0.0,0.0,0.1,3,10,7,0
fixed_logic,20,37.3,19.6,1.951,0.0,0.0,0.0,0.0,0.0,0.15,7,12,1,0
